file,name,gpu_class,world_size,grad_accum_steps,dataset,train_shards,tokenizer_kind,tokenizer_path,train_seq_len,train_batch_tokens,iterations,warmup_steps,max_wallclock_seconds,model_params,num_heads,num_kv_heads,mlp_mult,tie_embeddings,embed_lr,head_lr,matrix_lr,scalar_lr,seed,custom_init_mode,tok_byte_grad_scale,tok_phrase_grad_scale,tok_space_grad_scale,tok_struct_grad_scale,last_step,stopping_step,last_val_loss,last_val_bpb,roundtrip_val_loss,roundtrip_val_bpb,score_bpb,last_train_time_ms,last_step_avg_ms,peak_mem_alloc_mib,peak_mem_reserved_mib,serialized_model_bytes,code_size_bytes,total_submission_size_bytes,int8_model_bytes,total_submission_size_int8_bytes
logs/.ipynb_checkpoints/2a342f81-9171-4d31-8976-aa55acec41bb-checkpoint.txt,2a342f81-9171-4d31-8976-aa55acec41bb-checkpoint.txt,8xH100,8,1,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",4096,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,8002,8002,2.0276,1.2009,2.03784228,1.20692498,1.20692498,600050,74.99,10123,10442,67224983,47686,67272669,15802559,15850245
logs/2a342f81-9171-4d31-8976-aa55acec41bb.txt,2a342f81-9171-4d31-8976-aa55acec41bb.txt,8xH100,8,1,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",4096,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,8002,8002,2.0276,1.2009,2.03784228,1.20692498,1.20692498,600050,74.99,10123,10442,67224983,47686,67272669,15802559,15850245
logs/.ipynb_checkpoints/345618fb-40d9-4c86-9869-b319056a30b2-checkpoint.txt,345618fb-40d9-4c86-9869-b319056a30b2-checkpoint.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",4096,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},1.0,1.0,1.0,1.0,7451,7451,2.0542,1.215,2.06365956,1.22059676,1.22059676,600019,80.53,10123,10298,67224983,59348,67284331,15791418,15850766
logs/345618fb-40d9-4c86-9869-b319056a30b2.txt,345618fb-40d9-4c86-9869-b319056a30b2.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",4096,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},1.0,1.0,1.0,1.0,7451,7451,2.0542,1.215,2.06365956,1.22059676,1.22059676,600019,80.53,10123,10298,67224983,59348,67284331,15791418,15850766
logs/eecf6797-03cb-44d4-b5b9-933631b66953.txt,eecf6797-03cb-44d4-b5b9-933631b66953.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",4096,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},1.0,1.0,1.0,1.0,7197,7197,2.0568,1.2165,2.06749424,1.22286486,1.22286486,599943,83.36,10123,10298,67224983,59348,67284331,15787751,15847099
logs/ab_baseline_sp1024_final.txt,ab_baseline_sp1024_final.txt,8xH100,8,1,fineweb10B_sp1024,80,sentencepiece,/workspace/parameter-golf/data/tokenizers/fineweb_1024_bpe.model,1024,524288,20000,20,600.0,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,11409,11409,2.066,1.2236,2.07699799,1.2301152,1.2301152,600003,52.59,10119,10438,67224983,47686,67272669,15807254,15854940
logs/ab_baseline_sp1024_8gpu.txt,ab_baseline_sp1024_8gpu.txt,8xH100,8,1,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,11494,11494,2.0661,1.2236,2.07833099,1.23090468,1.23090468,600016,52.2,10119,10438,67224983,47686,67272669,15811222,15858908
logs/.ipynb_checkpoints/3c8bbfee-d1bc-412b-aa08-be1dd88823e5-checkpoint.txt,3c8bbfee-d1bc-412b-aa08-be1dd88823e5-checkpoint.txt,8xH100,8,1,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,10855,10855,2.0676,1.2246,2.07866051,1.23109984,1.23109984,599993,55.27,10119,10294,67224983,47686,67272669,15817402,15865088
logs/3c8bbfee-d1bc-412b-aa08-be1dd88823e5.txt,3c8bbfee-d1bc-412b-aa08-be1dd88823e5.txt,8xH100,8,1,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,10855,10855,2.0676,1.2246,2.07866051,1.23109984,1.23109984,599993,55.27,10119,10294,67224983,47686,67272669,15817402,15865088
logs/efefeec7-9a7a-437a-92b0-23bc94727a5c.txt,efefeec7-9a7a-437a-92b0-23bc94727a5c.txt,8xH100,8,1,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,10895,10895,2.0682,1.2249,2.07986843,1.23181524,1.23181524,600012,55.07,10119,10294,67224983,47686,67272669,15812731,15860417
logs/8e9cab0d-ca3b-4316-9149-d00a847db658.txt,8e9cab0d-ca3b-4316-9149-d00a847db658.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.63,0.9,0.98,0.95,12574,12574,2.0799,1.2302,2.09201827,1.23737278,1.23737278,600000,47.72,10119,10438,67224983,59348,67284331,15823764,15883112
logs/562bc6ca-ba76-43d1-b2bd-1b6b77c12951.txt,562bc6ca-ba76-43d1-b2bd-1b6b77c12951.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.65,0.9,0.98,0.95,12480,12480,2.0808,1.2307,2.09226794,1.23752045,1.23752045,599965,48.07,10119,10438,67224983,59348,67284331,15823294,15882642
logs/ab_custom_v1_final.txt,ab_custom_v1_final.txt,8xH100,8,1,fineweb10B_customdp1024_80,80,custom_jsonl,/workspace/parameter-golf/vocab/b650_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms10.jsonl,1024,524288,20000,20,600.0,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,11566,11566,2.0758,1.2304,2.08816099,1.23770264,1.23770264,599998,51.88,10119,10438,67224983,49629,67274612,15819107,15868736
logs/ab_custom_dp1024_8gpu.txt,ab_custom_dp1024_8gpu.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,11516,11516,2.0755,1.2302,2.08867191,1.23800548,1.23800548,599994,52.1,10119,10294,67224983,49629,67274612,15818308,15867937
logs/384988c0-72f1-4f02-a9cd-4641afe86220.txt,384988c0-72f1-4f02-a9cd-4641afe86220.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.7,0.9,0.98,0.95,12633,12633,2.0796,1.23,2.09325369,1.2381035,1.2381035,599969,47.49,10119,10438,67224983,58388,67283371,15821206,15879594
logs/fb40abdd-3a45-4bd1-b5c8-063c8b811ba2.txt,fb40abdd-3a45-4bd1-b5c8-063c8b811ba2.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.65,0.88,0.98,0.95,12577,12577,2.0801,1.2303,2.09342823,1.23820673,1.23820673,599969,47.7,10119,10438,67224983,59348,67284331,15819953,15879301
logs/.ipynb_checkpoints/966b3364-5c47-4ba3-981b-4f5a176d0a21-checkpoint.txt,966b3364-5c47-4ba3-981b-4f5a176d0a21-checkpoint.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,12970,12970,2.0794,1.2299,2.09361521,1.23831732,1.23831732,601615,46.39,10119,10438,67224983,49629,67274612,15822580,15872209
logs/966b3364-5c47-4ba3-981b-4f5a176d0a21.txt,966b3364-5c47-4ba3-981b-4f5a176d0a21.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,12970,12970,2.0794,1.2299,2.09361521,1.23831732,1.23831732,601615,46.39,10119,10438,67224983,49629,67274612,15822580,15872209
logs/7c4f32d6-7209-4105-bb5a-457e11a8e225.txt,7c4f32d6-7209-4105-bb5a-457e11a8e225.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.6,0.9,0.98,0.95,12589,12589,2.0798,1.2301,2.09363478,1.2383289,1.2383289,600594,47.71,10119,10438,67224983,59348,67284331,15819762,15879110
logs/f196d5ba-4b3c-4d5b-9809-d59b3a099c29.txt,f196d5ba-4b3c-4d5b-9809-d59b3a099c29.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,12646,12646,2.0829,1.2313,2.09497458,1.23842136,1.23842136,599985,47.44,10119,10438,67224983,49629,67274612,15821608,15871237
logs/cf155b2c-7a38-4ecd-a596-e62f2f7371fd.txt,cf155b2c-7a38-4ecd-a596-e62f2f7371fd.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.8,0.95,1.0,0.97,12428,12428,2.0812,1.231,2.09397575,1.23853057,1.23853057,599998,48.28,10119,10438,67224983,59346,67284329,15824043,15883389
logs/e2fac775-0fc4-4cb6-8bce-49dadff3d3c5.txt,e2fac775-0fc4-4cb6-8bce-49dadff3d3c5.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.85,0.97,1.0,0.98,11631,11631,2.0834,1.2323,2.09567684,1.23953672,1.23953672,599988,51.59,10119,10438,67224983,58388,67283371,15823843,15882231
logs/963c4469-b7b1-4ce3-8467-2c7ffd9f295a.txt,963c4469-b7b1-4ce3-8467-2c7ffd9f295a.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.63,0.9,0.98,0.95,12084,12084,2.0824,1.2317,2.09572081,1.23956273,1.23956273,599994,49.65,10119,10438,67224983,59348,67284331,15826608,15885956
logs/ab_top1_fallback20v1_8gpu.txt,ab_top1_fallback20v1_8gpu.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,11432,11432,2.1011,1.2334,2.11266035,1.24017626,1.24017626,600013,52.49,10120,10294,67224983,49629,67274612,15820403,15870032
logs/c919de46-ef88-4601-9cbe-1d9b437b74a4.txt,c919de46-ef88-4601-9cbe-1d9b437b74a4.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.7,0.9,0.98,0.95,12174,12174,2.0837,1.2324,2.09689629,1.24025799,1.24025799,599984,49.28,10119,10438,67224983,59348,67284331,15822300,15881648
logs/54113f6f-784e-4e60-8f8d-d7d35ca7c5c1.txt,54113f6f-784e-4e60-8f8d-d7d35ca7c5c1.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,11008,11008,2.0877,1.2341,2.09940535,1.24104055,1.24104055,600018,54.51,10119,10294,67224983,49629,67274612,15818310,15867939
logs/537b929c-a103-4d34-be42-a901000626a8.txt,537b929c-a103-4d34-be42-a901000626a8.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,10802,10802,2.0858,1.2337,2.09836467,1.2411265,1.2411265,599981,55.54,10119,10294,67224983,49629,67274612,15823477,15873106
logs/986032f6-b1dc-4b1e-a784-53c8c6bebcec.txt,986032f6-b1dc-4b1e-a784-53c8c6bebcec.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.63,0.9,0.98,0.95,10241,10241,2.0886,1.2354,2.10070591,1.24251128,1.24251128,600005,58.59,10119,10438,67224983,59348,67284331,15821524,15880872
logs/8d23ddcf-27d1-4ccd-b44d-8c8ecfd85d05.txt,8d23ddcf-27d1-4ccd-b44d-8c8ecfd85d05.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,10019,10019,2.0889,1.2355,2.1016181,1.24305082,1.24305082,600005,59.89,10119,10438,67224983,49629,67274612,15820137,15869766
logs/4c6f7c78-4d68-4de2-8027-5fb8baccd322.txt,4c6f7c78-4d68-4de2-8027-5fb8baccd322.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.63,0.9,0.98,0.95,10291,10291,2.0907,1.2359,2.10312838,1.24324138,1.24324138,600010,58.3,10119,10438,67224983,59348,67284331,15819311,15878659
logs/ab_custom_vocab2_8gpu.txt,ab_custom_vocab2_8gpu.txt,8xH100,8,1,{dataset_dir.name},79,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,11444,11444,2.1175,1.2362,2.13055836,1.24383499,1.24383499,600069,52.44,10119,10294,67224983,49629,67274612,15815486,15865115
logs/3102baf5-fae6-4d4d-909f-1c04c01abbb5.txt,3102baf5-fae6-4d4d-909f-1c04c01abbb5.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},1.0,1.0,1.0,1.0,7000,,2.1537,1.2739,,,1.2739,363008,47.76,,,,,,,
logs/0dbc6e30-2e35-414f-b632-16b625ec2597.txt,0dbc6e30-2e35-414f-b632-16b625ec2597.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},0.45,0.75,0.9,0.85,5000,,2.1735,1.2855,,,1.2855,267073,47.69,,,,,,,
logs/128d8025-b4ae-465c-bcb6-95d0d95b6901.txt,128d8025-b4ae-465c-bcb6-95d0d95b6901.txt,8xH100,8,1,{dataset_dir.name},80,{tokenizer_log_kind},"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,{args.custom_init_mode},1.0,1.0,1.0,1.0,4000,,2.1915,1.2962,,,1.2962,218868,47.58,,,,,,,
logs/2aaed35a-5b4c-4ff4-8966-23108973b9c9.txt,2aaed35a-5b4c-4ff4-8966-23108973b9c9.txt,1xH100,1,8,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",2048,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,1129,1129,2.2399,1.3266,2.24247624,1.32812074,1.32812074,600355,531.76,10240,10554,67224983,47686,67272669,12771785,12819471
logs/.ipynb_checkpoints/006746a4-2971-44ba-8010-08aefe0a9043-checkpoint.txt,006746a4-2971-44ba-8010-08aefe0a9043-checkpoint.txt,1xH100,1,8,{dataset_dir.name},80,sentencepiece,"{args.tokenizer_path}"")",1024,524288,20000,20,0.3,17059912,8,4,,True,0.05,0.0,0.04,0.04,1337,n/a,,,,,1328,1328,2.2447,1.3295,2.24671634,1.33063197,1.33063197,600274,452.01,10239,10730,67224983,47686,67272669,13290768,13338454
