tag,path,baseline_keep,phrase_keep,word_keep,baseline_sort_mode,phrase_sort_mode,word_sort_mode,unicode_added,baseline_added,pinned_phrase_added,pinned_word_added,extra_phrase_added,extra_word_added,byte_added,lines,base_total,cust_total,abs_saved,pct_saved,improved,worse,same
b650_p40_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p40_w40_bs-priority_ps-combined_ws-combined.jsonl,650,40,40,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p40_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p40_w60_bs-priority_ps-combined_ws-combined.jsonl,650,40,60,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p40_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p40_w80_bs-priority_ps-combined_ws-combined.jsonl,650,40,80,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p80_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p80_w40_bs-priority_ps-combined_ws-combined.jsonl,650,80,40,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p80_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p80_w60_bs-priority_ps-combined_ws-combined.jsonl,650,80,60,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p80_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p80_w80_bs-priority_ps-combined_ws-combined.jsonl,650,80,80,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p120_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p120_w40_bs-priority_ps-combined_ws-combined.jsonl,650,120,40,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p120_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p120_w60_bs-priority_ps-combined_ws-combined.jsonl,650,120,60,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b650_p120_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b650_p120_w80_bs-priority_ps-combined_ws-combined.jsonl,650,120,80,priority,combined,combined,20,650,9,9,21,17,256,2999,150216,152632,-2416,-0.016083506417425574,566,1668,765
b600_p40_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p40_w40_bs-priority_ps-combined_ws-combined.jsonl,600,40,40,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p40_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p40_w60_bs-priority_ps-combined_ws-combined.jsonl,600,40,60,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p40_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p40_w80_bs-priority_ps-combined_ws-combined.jsonl,600,40,80,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p80_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p80_w40_bs-priority_ps-combined_ws-combined.jsonl,600,80,40,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p80_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p80_w60_bs-priority_ps-combined_ws-combined.jsonl,600,80,60,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p80_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p80_w80_bs-priority_ps-combined_ws-combined.jsonl,600,80,80,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p120_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p120_w40_bs-priority_ps-combined_ws-combined.jsonl,600,120,40,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p120_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p120_w60_bs-priority_ps-combined_ws-combined.jsonl,600,120,60,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b600_p120_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b600_p120_w80_bs-priority_ps-combined_ws-combined.jsonl,600,120,80,priority,combined,combined,20,600,9,9,21,17,256,2999,150216,155208,-4992,-0.033232145710177345,338,2169,492
b550_p40_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p40_w40_bs-priority_ps-combined_ws-combined.jsonl,550,40,40,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p40_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p40_w60_bs-priority_ps-combined_ws-combined.jsonl,550,40,60,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p40_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p40_w80_bs-priority_ps-combined_ws-combined.jsonl,550,40,80,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p80_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p80_w40_bs-priority_ps-combined_ws-combined.jsonl,550,80,40,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p80_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p80_w60_bs-priority_ps-combined_ws-combined.jsonl,550,80,60,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p80_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p80_w80_bs-priority_ps-combined_ws-combined.jsonl,550,80,80,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p120_w40_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p120_w40_bs-priority_ps-combined_ws-combined.jsonl,550,120,40,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p120_w60_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p120_w60_bs-priority_ps-combined_ws-combined.jsonl,550,120,60,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
b550_p120_w80_bs-priority_ps-combined_ws-combined,analysis/grid_vocabs/b550_p120_w80_bs-priority_ps-combined_ws-combined.jsonl,550,120,80,priority,combined,combined,20,550,9,9,21,17,256,2999,150216,157734,-7518,-0.05004793097938968,207,2465,327
