tag,path,baseline_keep,phrase_keep,word_keep,baseline_sort_mode,phrase_sort_mode,word_sort_mode,pin_mode,min_subword_score,unicode_added,baseline_added,pinned_phrase_added,pinned_word_added,extra_phrase_added,extra_word_added,byte_added,lines,base_total,cust_total,abs_saved,pct_saved,improved,worse,same
b680_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms10,analysis/grid_vocabs_v2/b680_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms10.jsonl,680,36,32,priority,combined,combined,none,10,20,680,0,0,30,28,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b680_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms12,analysis/grid_vocabs_v2/b680_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms12.jsonl,680,36,32,priority,combined,combined,none,12,20,680,0,0,30,27,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b680_p36_w40_bs-priority_ps-combined_ws-combined_pin-none_ms10,analysis/grid_vocabs_v2/b680_p36_w40_bs-priority_ps-combined_ws-combined_pin-none_ms10.jsonl,680,36,40,priority,combined,combined,none,10,20,680,0,0,30,28,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b680_p36_w40_bs-priority_ps-combined_ws-combined_pin-none_ms12,analysis/grid_vocabs_v2/b680_p36_w40_bs-priority_ps-combined_ws-combined_pin-none_ms12.jsonl,680,36,40,priority,combined,combined,none,12,20,680,0,0,30,27,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b680_p44_w32_bs-priority_ps-combined_ws-combined_pin-none_ms10,analysis/grid_vocabs_v2/b680_p44_w32_bs-priority_ps-combined_ws-combined_pin-none_ms10.jsonl,680,44,32,priority,combined,combined,none,10,20,680,0,0,30,28,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b680_p44_w32_bs-priority_ps-combined_ws-combined_pin-none_ms12,analysis/grid_vocabs_v2/b680_p44_w32_bs-priority_ps-combined_ws-combined_pin-none_ms12.jsonl,680,44,32,priority,combined,combined,none,12,20,680,0,0,30,27,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b680_p44_w40_bs-priority_ps-combined_ws-combined_pin-none_ms10,analysis/grid_vocabs_v2/b680_p44_w40_bs-priority_ps-combined_ws-combined_pin-none_ms10.jsonl,680,44,40,priority,combined,combined,none,10,20,680,0,0,30,28,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b680_p44_w40_bs-priority_ps-combined_ws-combined_pin-none_ms12,analysis/grid_vocabs_v2/b680_p44_w40_bs-priority_ps-combined_ws-combined_pin-none_ms12.jsonl,680,44,40,priority,combined,combined,none,12,20,680,0,0,30,27,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b700_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms10,analysis/grid_vocabs_v2/b700_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms10.jsonl,700,36,32,priority,combined,combined,none,10,20,700,0,0,30,28,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
b700_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms12,analysis/grid_vocabs_v2/b700_p36_w32_bs-priority_ps-combined_ws-combined_pin-none_ms12.jsonl,700,36,32,priority,combined,combined,none,12,20,700,0,0,30,27,256,2999,150216,151400,-1184,-0.007881983277413858,724,1344,931
