doc_id,chars,sp_tokens,custom_tokens,delta_sp_minus_custom
0,1315,522,542,-20
1,3336,1258,1297,-39
2,961,330,362,-32
3,4053,1758,1780,-22
4,352,172,178,-6
5,1335,514,528,-14
6,6211,2505,2608,-103
7,936,407,426,-19
8,3932,1569,1625,-56
9,414,240,250,-10
10,765,300,310,-10
11,3018,1182,1223,-41
12,40428,16433,16931,-498
13,2095,866,893,-27
14,606,237,246,-9
15,1404,531,567,-36
16,365,135,142,-7
17,588,305,307,-2
18,311,145,148,-3
19,2163,972,1035,-63
20,682,270,278,-8
21,2825,1222,1259,-37
22,10524,3963,4112,-149
23,331,127,135,-8
24,2186,869,887,-18
25,2631,1015,1075,-60
26,2360,912,964,-52
27,979,437,456,-19
28,2467,994,1001,-7
29,13394,6079,6373,-294
30,3303,1335,1384,-49
31,741,321,327,-6
32,2867,1141,1182,-41
33,1043,629,651,-22
34,2945,1125,1147,-22
35,2664,1058,1085,-27
36,4342,1835,1901,-66
37,2744,1260,1288,-28
38,1720,703,727,-24
39,1186,443,453,-10
40,1498,646,662,-16
41,4128,1672,1688,-16
42,665,318,323,-5
43,1095,458,476,-18
44,1148,467,489,-22
45,2175,1062,1076,-14
46,910,363,371,-8
47,974,438,440,-2
48,1732,807,831,-24
49,1235,500,539,-39
50,1544,669,688,-19
51,2145,900,935,-35
52,417,193,207,-14
53,2076,927,966,-39
54,3539,1532,1581,-49
55,529,267,274,-7
56,585,247,251,-4
57,682,293,294,-1
58,2612,1143,1170,-27
59,1764,755,781,-26
60,300,124,136,-12
61,6218,2589,2644,-55
62,563,221,227,-6
63,2453,965,998,-33
64,2480,970,988,-18
65,1307,561,572,-11
66,427,179,178,1
67,764,356,372,-16
68,6566,2578,2653,-75
69,717,313,322,-9
70,476,196,200,-4
71,26247,12386,13113,-727
72,535,244,255,-11
73,1858,1069,1074,-5
74,414,218,231,-13
75,727,366,372,-6
76,660,278,291,-13
77,2702,1099,1129,-30
78,1339,607,623,-16
79,1158,522,540,-18
80,3474,1566,1613,-47
81,5814,2283,2321,-38
82,1725,810,843,-33
83,1432,543,562,-19
84,990,437,460,-23
85,530,234,243,-9
86,2002,812,837,-25
87,321,130,133,-3
88,2164,877,908,-31
89,3005,1223,1266,-43
90,1033,444,467,-23
91,830,335,341,-6
92,540,269,281,-12
93,931,378,387,-9
94,530,245,252,-7
95,2731,1078,1110,-32
96,3797,1578,1639,-61
97,2415,964,1004,-40
98,28984,11057,11383,-326
99,333,149,158,-9
100,797,360,367,-7
101,5523,2250,2310,-60
102,2804,1259,1305,-46
103,395,160,166,-6
104,4168,1582,1640,-58
105,670,301,318,-17
106,3007,1366,1375,-9
107,3640,1677,1750,-73
108,2401,1081,1130,-49
109,2027,820,857,-37
110,4977,2010,2088,-78
111,1235,510,524,-14
112,1686,725,731,-6
113,677,269,276,-7
114,1785,799,805,-6
115,7313,3067,3151,-84
116,2047,873,893,-20
117,1018,438,459,-21
118,5366,2178,2247,-69
119,5504,2185,2208,-23
120,478,224,231,-7
121,6621,2561,2626,-65
122,575,225,231,-6
123,1294,530,552,-22
124,2568,1091,1130,-39
125,1945,766,797,-31
126,930,383,392,-9
127,615,306,309,-3
128,1384,729,758,-29
129,1898,856,885,-29
130,1694,665,682,-17
131,1095,442,457,-15
132,2269,940,947,-7
133,1793,755,775,-20
134,1474,581,599,-18
135,527,232,238,-6
136,1826,640,678,-38
137,1030,591,598,-7
138,1886,832,873,-41
139,497,198,206,-8
140,657,273,278,-5
141,3119,1395,1450,-55
142,1014,398,415,-17
143,1472,555,592,-37
144,363,166,163,3
145,444,165,169,-4
146,791,308,331,-23
147,774,336,363,-27
148,1893,746,770,-24
149,50627,18075,18584,-509
150,2706,1034,1112,-78
151,6203,2526,2590,-64
152,1176,523,529,-6
153,2254,960,977,-17
154,568,247,254,-7
155,853,360,371,-11
156,807,326,344,-18
157,5209,2597,2604,-7
158,1002,437,446,-9
159,1189,520,538,-18
160,10088,4103,4250,-147
161,11241,4516,4635,-119
162,664,241,239,2
163,2599,959,1018,-59
164,2942,1214,1253,-39
165,655,302,317,-15
166,424,175,182,-7
167,707,297,298,-1
168,4904,2064,2116,-52
169,3915,1456,1484,-28
170,1290,573,580,-7
171,597,287,290,-3
172,873,326,333,-7
173,5980,2406,2465,-59
174,905,384,398,-14
175,1038,450,460,-10
176,1283,510,512,-2
177,928,387,392,-5
178,1485,613,624,-11
179,10016,3958,4059,-101
180,13406,5599,5754,-155
181,440,199,204,-5
182,4549,2022,2083,-61
183,2187,833,857,-24
184,1083,433,444,-11
185,1841,910,948,-38
186,1281,600,615,-15
187,2485,991,1017,-26
188,932,350,361,-11
189,1008,403,409,-6
190,910,436,447,-11
191,545,301,309,-8
192,440,169,180,-11
193,367,157,165,-8
194,2530,1107,1149,-42
195,273,104,107,-3
196,1389,566,584,-18
197,923,356,362,-6
198,2159,845,885,-40
199,3305,1269,1299,-30
200,572,257,272,-15
201,497,246,251,-5
202,703,301,307,-6
203,1000,412,425,-13
204,1671,781,808,-27
205,432,207,216,-9
206,764,326,331,-5
207,3116,1129,1159,-30
208,566,247,253,-6
209,5676,2269,2351,-82
210,561,261,267,-6
211,824,350,357,-7
212,1477,733,744,-11
213,6455,2997,3057,-60
214,1062,440,450,-10
215,3132,1289,1315,-26
216,457,198,206,-8
217,1083,498,508,-10
218,2762,1165,1201,-36
219,3003,1108,1175,-67
220,3001,1190,1229,-39
221,770,313,320,-7
222,838,317,327,-10
223,3686,1594,1659,-65
224,2207,961,1000,-39
225,1969,865,894,-29
226,4657,1938,2000,-62
227,3207,1348,1386,-38
228,6324,2374,2447,-73
229,270,114,127,-13
230,720,352,373,-21
