source,token_id,piece,in_sp,in_custom,freq,doc_freq,doc_coverage_ratio,left_diversity,right_diversity,context_diversity,piece_bytes,compression_credit,num_parts,non_byte_parts,decomp_parts_json,verdict
sp,0,<pad>,1,0,0,0,0.0,0,0,0,5.0,0.0,,,,sp_only
sp,1,<s>,1,0,0,0,0.0,0,0,0,3.0,0.0,,,,sp_only
sp,2,</s>,1,0,0,0,0.0,0,0,0,4.0,0.0,,,,sp_only
sp,3,<unk>,1,0,0,0,0.0,0,0,0,5.0,0.0,,,,sp_only
sp,4,<0x00>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,5,<0x01>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,6,<0x02>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,7,<0x03>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,8,<0x04>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,9,<0x05>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,10,<0x06>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,11,<0x07>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,12,<0x08>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,13,<0x09>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,14,<0x0A>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,15,<0x0B>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,16,<0x0C>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,17,<0x0D>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,18,<0x0E>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,19,<0x0F>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,20,<0x10>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,21,<0x11>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,22,<0x12>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,23,<0x13>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,24,<0x14>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,25,<0x15>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,26,<0x16>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,27,<0x17>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
sp,28,<0x18>,1,1,0,0,0.0,0,0,0,1.0,0.0,,,,sp_overlap
